overs_played,wickets_lost,avg_batting_avg,avg_bowling_avg,avg_strike_rate,avg_economy,powerplay_runs,middle_overs_runs,total_innings_runs,team_batting_avg,team_bowling_avg,total_run_avg,overs_batted
40,5,42.8,36.5,119.1,6.07,60,92,221,41.7,28.7,5.52,40
25,8,30.2,39.3,91.7,5.26,47,108,105,14.9,47.5,4.2,25
40,3,36.9,22.3,73.0,6.01,60,123,216,55.9,18.7,5.4,40
49,3,44.7,25.1,102.9,6.57,58,150,278,72.9,26.1,5.67,49
43,3,39.9,27.0,82.4,5.83,51,150,237,61.1,26.6,5.51,43
41,5,41.9,33.6,75.4,5.13,60,117,222,43.6,36.5,5.41,41
32,1,36.0,38.4,93.8,4.92,60,150,180,80.0,47.1,5.62,32
42,6,42.0,29.7,95.8,6.55,60,117,230,41.6,29.8,5.48,42
50,3,40.3,31.3,61.5,3.31,54,132,272,64.4,26.4,5.44,50
39,5,48.6,31.2,69.4,5.65,60,150,220,42.6,27.1,5.64,39
40,6,39.6,29.3,90.6,4.77,60,130,212,36.7,25.0,5.3,40
38,2,43.8,36.1,94.8,5.51,57,121,216,80.0,39.8,5.68,38
36,3,27.8,35.1,72.4,5.85,60,150,172,40.8,36.8,4.78,36
45,6,48.4,31.8,97.2,6.05,60,117,251,44.1,26.0,5.58,45
50,4,37.5,33.3,76.6,5.77,60,114,267,58.3,32.7,5.34,50
50,4,32.3,33.3,90.2,6.91,56,128,264,52.8,35.7,5.28,50
38,5,38.5,29.0,99.8,5.39,60,120,193,39.7,27.3,5.08,38
31,2,48.8,25.0,70.7,6.15,57,150,173,71.0,19.9,5.58,31
43,5,29.7,34.0,104.1,6.5,58,139,232,34.2,41.1,5.4,43
49,5,29.7,24.1,91.9,4.83,51,136,256,45.0,29.8,5.22,49
45,1,35.3,24.7,79.2,5.88,60,150,266,80.0,28.2,5.91,45
39,4,34.9,30.4,91.3,7.28,53,150,198,44.2,30.2,5.08,39
48,6,42.4,33.6,73.7,4.31,60,150,259,39.4,31.5,5.4,48
29,4,43.8,27.0,49.0,7.72,60,135,162,39.1,22.2,5.59,29
50,3,30.2,36.4,92.9,5.51,60,150,272,67.6,39.7,5.44,50
45,5,37.9,27.6,73.5,6.06,48,150,235,40.6,22.8,5.22,45
49,3,40.2,26.5,93.6,7.78,60,150,283,73.2,27.5,5.78,49
40,0,33.5,31.1,113.5,7.42,35,91,227,80.0,34.1,5.68,40
36,8,39.2,34.9,93.2,6.33,55,108,195,30.7,31.3,5.42,36
29,7,33.8,37.9,91.5,5.52,49,132,165,24.0,36.4,5.69,29
50,6,49.5,38.8,79.0,6.59,47,134,286,44.5,37.2,5.72,50
44,2,46.8,32.3,113.4,5.08,56,150,260,80.0,34.1,5.91,44
46,5,43.2,28.7,94.3,6.34,56,140,263,52.6,24.3,5.72,46
46,2,44.2,32.4,82.4,4.86,45,145,249,80.0,40.7,5.41,46
50,3,30.8,24.5,96.8,5.77,60,90,260,59.7,29.9,5.2,50
46,3,32.4,31.7,77.7,6.33,60,150,252,65.4,36.5,5.48,46
44,3,44.0,29.1,82.4,3.5,60,94,266,72.6,26.7,6.05,44
41,3,38.3,24.8,89.5,4.21,60,120,226,54.9,24.1,5.51,41
45,7,28.7,37.4,98.3,6.93,52,150,231,28.2,35.6,5.13,45
47,9,33.3,36.9,81.3,4.38,60,138,263,29.8,29.1,5.6,47
43,7,49.4,30.7,91.4,7.78,42,130,218,39.2,28.4,5.07,43
45,6,30.3,30.0,104.0,4.69,60,142,226,35.9,31.1,5.02,45
36,3,33.8,43.8,76.5,5.77,51,150,180,51.9,44.7,5.0,36
49,6,34.0,30.9,85.0,4.56,44,150,236,37.6,32.2,4.82,49
44,4,44.6,31.4,79.9,4.51,60,146,237,51.8,30.9,5.39,44
50,4,38.7,24.2,78.8,5.3,48,146,287,56.6,24.9,5.74,50
16,2,46.2,28.8,82.7,4.34,54,150,51,32.6,28.8,3.19,16
27,6,44.6,34.7,83.2,5.86,46,119,144,24.2,34.2,5.33,27
31,4,35.9,27.4,87.9,6.05,60,150,153,35.0,21.7,4.94,31
45,6,39.0,40.7,79.7,5.68,60,132,226,39.1,36.6,5.02,45
41,4,50.0,30.7,115.8,4.12,60,150,262,59.1,33.3,6.39,41
42,7,34.6,33.3,101.1,6.99,45,98,261,34.5,34.4,6.21,42
50,9,41.8,34.0,96.9,6.8,48,150,270,31.9,34.3,5.4,50
39,5,27.9,27.3,101.1,5.11,37,150,222,39.8,29.1,5.69,39
50,4,49.1,32.9,97.0,4.91,60,122,275,63.3,29.6,5.5,50
39,4,45.3,33.7,91.1,5.15,41,125,232,56.7,30.4,5.95,39
45,2,37.6,28.8,66.8,5.73,48,150,267,80.0,22.6,5.93,45
49,3,35.3,26.2,103.1,5.45,60,150,280,70.8,26.3,5.71,49
50,6,40.7,34.1,86.2,6.7,60,150,274,46.4,32.8,5.48,50
39,7,41.5,38.6,101.1,4.92,53,133,211,31.5,41.6,5.41,39
34,3,46.4,31.1,124.3,3.65,53,150,200,58.2,33.3,5.88,34
47,3,34.4,22.7,89.3,7.17,49,150,262,68.4,26.4,5.57,47
36,4,29.4,32.7,77.0,6.43,60,141,177,37.9,31.5,4.92,36
43,2,33.9,30.5,78.6,4.97,58,150,242,80.0,26.8,5.63,43
34,7,42.2,28.0,92.6,6.56,60,116,185,32.9,29.8,5.44,34
48,3,44.4,25.2,93.9,5.29,60,150,264,73.3,18.5,5.5,48
25,5,43.0,25.3,101.2,3.41,60,76,153,29.7,27.5,6.12,25
45,5,35.6,31.5,117.3,6.65,45,137,261,45.2,37.7,5.8,45
41,5,39.5,43.5,92.7,5.76,60,146,222,46.3,43.8,5.41,41
50,5,35.0,31.5,78.5,5.57,59,134,276,44.5,33.2,5.52,50
50,10,41.2,28.0,77.1,6.56,60,150,262,27.8,37.0,5.24,50
34,3,37.8,35.0,96.6,5.39,42,150,190,56.2,29.2,5.59,34
44,4,41.2,24.4,97.9,6.46,60,150,270,50.8,18.8,6.14,44
36,2,24.3,33.4,104.9,5.23,60,123,219,74.9,36.1,6.08,36
42,3,42.4,37.3,86.3,4.41,60,106,230,63.9,36.1,5.48,42
44,3,41.1,33.2,88.6,5.58,60,63,228,63.7,39.9,5.18,44
47,2,39.1,33.6,108.5,5.24,60,150,265,80.0,33.8,5.64,47
50,4,35.0,29.8,110.4,5.17,60,147,303,56.8,31.0,6.06,50
32,4,33.4,30.7,103.4,5.13,58,112,185,41.4,26.5,5.78,32
33,6,40.2,30.8,82.2,4.42,60,104,158,31.5,29.1,4.79,33
50,3,40.4,38.1,90.3,5.94,60,131,273,72.2,40.3,5.46,50
46,2,43.9,26.6,94.1,3.72,34,125,269,80.0,27.2,5.85,46
40,1,24.8,37.0,88.1,4.6,60,125,232,80.0,46.1,5.8,40
50,5,40.7,24.2,95.3,5.1,56,150,290,53.2,22.1,5.8,50
38,5,23.6,36.2,71.7,4.77,60,150,164,28.4,31.9,4.32,38
38,4,46.4,32.7,59.1,6.31,60,150,201,49.2,27.1,5.29,38
46,4,34.4,30.6,89.4,5.02,60,150,251,56.2,29.4,5.46,46
23,9,41.6,34.8,122.7,4.88,60,150,116,28.4,35.3,5.04,23
29,3,42.0,31.8,52.8,7.14,60,72,143,49.0,36.3,4.93,29
34,5,37.1,33.8,97.1,4.78,60,135,182,37.4,35.4,5.35,34
47,4,38.1,29.5,102.3,6.57,55,150,263,61.3,33.7,5.6,47
39,8,38.8,20.2,116.2,5.11,46,97,231,32.7,20.3,5.92,39
35,3,44.4,25.2,66.6,4.12,59,93,193,54.2,27.5,5.51,35
43,2,38.0,27.0,88.0,6.15,25,150,244,80.0,28.6,5.67,43
42,5,44.0,37.1,75.6,5.02,56,141,214,44.1,35.7,5.1,42
43,8,41.2,21.8,76.7,5.61,56,150,218,31.6,26.7,5.07,43
40,3,39.9,35.9,77.1,4.61,51,119,223,53.1,35.3,5.58,40
38,4,36.0,33.1,106.1,5.33,60,150,205,47.0,34.9,5.39,38
41,7,40.6,29.1,92.5,7.86,60,150,228,34.5,24.2,5.56,41
43,5,36.5,35.6,73.8,6.85,60,150,243,48.8,29.0,5.65,43
33,7,46.3,28.8,90.9,3.77,60,135,156,34.4,20.2,4.73,33
