over_number,wickets_fallen,batsman_avg,bowler_econ,strike_rate,match_phase,runs_in_over
5,0,43.7,5.88,81.6,0,6.0
39,9,36.5,6.1,105.0,1,4.0
33,8,22.0,5.34,107.9,1,5.0
22,5,44.6,5.48,93.2,1,3.0
22,9,47.1,4.64,83.8,1,2.0
43,9,38.0,6.1,93.8,2,6.0
5,1,55.4,5.57,84.4,0,4.0
35,9,44.2,5.06,84.5,1,2.0
11,2,42.1,6.54,129.2,1,7.0
5,2,46.7,6.27,80.5,0,14.0
27,7,30.9,3.66,100.2,1,1.0
49,9,24.6,5.56,89.4,2,3.0
37,9,34.2,4.35,65.5,1,5.0
39,9,48.2,5.67,64.8,1,6.0
36,9,32.7,2.0,88.4,1,1.0
40,9,41.7,5.74,50.9,2,9.0
26,6,42.6,6.35,89.4,1,12.0
7,4,40.0,5.37,82.8,0,5.0
42,6,27.8,4.1,81.1,2,3.0
23,2,40.7,7.85,114.5,1,9.0
26,9,34.6,6.89,87.2,1,8.0
19,7,51.6,4.86,89.4,1,2.0
10,2,47.1,5.19,78.5,0,3.0
47,9,38.0,3.12,89.4,2,2.0
40,9,52.1,6.07,109.4,2,5.0
33,9,40.7,3.86,72.8,1,5.0
21,6,24.6,6.3,100.6,1,1.0
42,9,37.4,6.73,41.7,2,8.0
28,9,51.1,5.42,115.3,1,3.0
23,6,31.4,4.22,78.9,1,1.0
23,8,37.5,5.5,88.3,1,5.0
12,6,27.1,5.5,88.0,1,1.0
5,2,28.4,5.61,70.5,0,3.0
28,9,31.3,4.38,69.0,1,5.0
45,9,28.2,5.73,100.4,2,2.0
4,2,33.1,5.26,101.4,0,6.0
43,9,51.9,3.91,72.3,2,8.0
42,9,37.7,7.11,100.8,2,8.0
14,4,44.3,7.61,101.2,1,10.0
32,8,46.7,6.72,82.4,1,10.0
9,4,29.1,6.54,64.1,0,7.0
38,9,31.3,7.62,89.2,1,7.0
36,9,44.1,4.24,97.3,1,3.0
18,0,32.9,4.23,88.8,1,7.0
4,0,43.6,5.0,78.2,0,5.0
49,9,38.0,5.86,99.3,2,8.0
23,6,26.4,5.5,115.3,1,3.0
45,9,35.1,4.28,74.6,2,1.0
34,9,38.0,5.5,84.0,1,4.0
39,9,33.8,5.39,144.9,1,4.0
38,8,33.1,6.51,95.8,1,4.0
10,0,34.1,5.5,64.7,0,4.0
19,8,37.9,3.21,80.4,1,1.0
24,5,39.3,5.96,89.4,1,7.0
25,9,45.6,7.4,97.6,1,6.0
3,1,37.8,5.53,96.2,0,7.0
28,5,46.9,6.68,77.3,1,7.0
8,3,33.3,4.89,127.1,0,6.0
38,9,28.4,6.18,91.7,1,4.0
35,9,35.6,4.61,80.9,1,3.0
47,9,41.7,5.2,65.6,2,8.0
38,9,44.9,5.21,72.1,1,2.0
19,6,49.7,6.07,65.1,1,5.0
49,9,40.3,4.51,86.2,2,4.0
21,3,44.0,3.74,72.3,1,5.0
17,3,49.0,6.06,105.7,1,14.0
46,9,31.8,6.02,78.3,2,6.0
19,5,36.3,5.63,106.8,1,4.0
4,4,60.2,6.62,99.8,0,13.0
24,9,44.9,5.5,102.9,1,2.0
40,9,42.1,5.84,107.9,2,6.0
10,2,45.1,5.08,129.9,0,14.0
24,5,27.3,5.19,73.0,1,4.0
7,5,32.8,5.91,106.9,0,4.0
35,9,29.9,8.22,98.0,1,4.0
24,5,41.3,6.39,111.3,1,6.0
17,4,35.0,6.16,92.2,1,5.0
12,1,38.8,6.43,113.5,1,7.0
29,6,35.5,2.68,64.2,1,1.0
34,6,25.0,5.88,69.9,1,1.0
48,9,45.1,6.59,78.6,2,6.0
22,4,23.9,5.6,88.5,1,5.0
9,1,32.2,5.45,90.9,0,6.0
42,9,27.5,4.37,75.2,2,2.0
32,9,31.0,4.98,70.2,1,5.0
36,9,39.6,4.5,76.9,1,2.0
5,1,47.9,6.7,55.8,0,9.0
16,2,25.5,7.3,84.2,1,10.0
39,9,33.5,7.82,88.8,1,5.0
42,9,24.0,4.48,98.8,2,1.0
22,9,33.2,4.7,93.3,1,5.0
41,6,38.6,4.6,125.9,2,2.0
43,9,44.1,4.28,106.2,2,7.0
20,7,21.1,4.3,104.7,1,2.0
45,9,42.4,4.88,97.3,2,7.0
15,4,30.2,6.55,100.7,1,8.0
12,4,28.3,4.64,85.6,1,2.0
35,9,38.5,6.76,92.0,1,6.0
32,9,43.0,7.14,128.4,1,5.0
7,4,38.0,5.84,88.6,0,6.0
42,7,38.0,6.97,63.4,2,7.0
10,1,38.0,3.87,103.9,0,7.0
41,8,32.2,4.83,107.5,2,6.0
1,1,42.8,5.73,93.1,0,4.0
40,9,46.6,5.5,52.4,2,3.0
40,9,46.1,7.22,115.7,2,10.0
40,9,37.8,4.3,94.6,2,7.0
34,9,47.0,4.86,83.8,1,5.0
24,7,29.8,5.4,113.8,1,3.0
36,9,52.3,4.88,49.5,1,3.0
14,5,29.8,4.25,92.2,1,2.0
40,9,38.0,4.93,79.2,2,2.0
28,9,38.0,5.21,89.4,1,6.0
23,7,38.0,7.24,94.9,1,6.0
26,9,38.9,4.28,72.7,1,2.0
29,9,29.8,6.48,112.8,1,6.0
2,1,56.9,7.03,40.8,0,10.0
7,2,52.6,4.88,100.2,0,9.0
13,2,50.4,5.81,64.7,1,6.0
6,5,38.7,6.19,80.8,0,1.0
22,6,45.8,5.99,85.2,1,9.0
34,9,37.6,5.6,108.2,1,4.0
33,9,47.0,4.69,134.1,1,5.0
24,9,34.7,6.29,54.4,1,1.0
43,9,50.7,5.05,98.9,2,10.0
29,9,34.3,5.53,134.0,1,3.0
4,1,35.2,5.71,89.4,0,5.0
39,8,34.3,6.53,77.3,1,3.0
29,7,39.5,7.81,94.7,1,6.0
32,9,34.9,4.61,106.6,1,4.0
29,6,41.9,5.56,103.2,1,5.0
28,5,34.2,3.72,82.8,1,2.0
5,0,44.3,7.28,73.9,0,6.0
28,9,50.1,5.55,116.3,1,3.0
40,6,38.6,5.14,74.5,2,5.0
16,7,55.7,5.56,51.7,1,2.0
31,5,47.0,5.62,60.9,1,5.0
2,0,55.1,5.5,78.5,0,12.0
18,4,37.5,6.93,119.9,1,7.0
22,4,24.7,5.5,66.2,1,4.0
50,9,32.4,6.44,120.4,2,7.0
11,1,33.2,4.68,116.1,1,4.0
14,7,30.4,4.62,94.5,1,1.0
21,2,20.4,5.36,39.0,1,1.0
50,9,46.2,6.46,66.3,2,5.0
43,9,23.1,6.1,77.3,2,4.0
2,0,45.4,4.57,124.6,0,5.0
12,2,55.5,6.3,78.6,1,10.0
42,9,31.8,4.33,74.5,2,4.0
3,0,41.1,4.71,93.8,0,6.0
43,9,34.8,5.69,61.8,2,13.0
15,6,44.6,4.09,89.5,1,2.0
46,9,28.4,4.34,74.0,2,2.0
15,3,36.9,7.36,143.8,1,13.0
22,7,47.0,7.14,71.6,1,4.0
34,9,37.6,8.25,128.6,1,10.0
7,4,25.0,6.04,67.2,0,4.0
28,6,47.9,6.27,95.3,1,7.0
26,5,27.6,5.31,100.0,1,5.0
40,9,38.6,5.08,92.8,2,10.0
50,9,42.7,6.55,91.6,2,8.0
34,9,39.0,7.13,107.2,1,2.0
21,3,58.3,6.44,98.3,1,8.0
21,5,43.9,4.49,89.4,1,6.0
21,6,36.4,5.97,76.5,1,2.0
41,9,42.8,4.58,86.7,2,3.0
17,3,39.7,5.11,86.4,1,9.0
9,2,38.4,7.46,86.0,0,7.0
17,1,40.0,5.5,91.5,1,7.0
2,1,34.5,8.1,61.8,0,9.0
6,4,39.7,6.16,69.4,0,6.0
5,0,34.0,4.94,106.6,0,2.0
39,9,22.8,5.58,45.0,1,5.0
37,5,47.1,4.68,113.9,1,7.0
35,9,33.5,4.84,78.8,1,5.0
24,6,39.1,5.59,123.4,1,3.0
36,8,31.9,5.5,114.5,1,2.0
9,3,32.2,4.38,83.5,0,2.0
46,9,29.7,5.23,85.5,2,4.0
26,9,45.6,3.92,121.9,1,5.0
47,9,47.5,3.97,115.5,2,13.0
8,2,38.2,3.96,109.5,0,2.0
25,9,33.7,7.51,112.9,1,1.0
35,9,24.5,5.99,68.2,1,1.0
25,5,44.4,6.22,94.1,1,5.0
23,4,32.6,5.51,74.6,1,3.0
9,5,29.1,6.11,67.7,0,3.0
20,8,38.2,6.91,93.3,1,3.0
12,3,35.3,5.99,81.7,1,2.0
16,8,25.9,7.47,86.7,1,3.0
35,8,38.0,5.46,80.0,1,2.0
32,6,40.7,6.22,64.9,1,4.0
31,9,32.8,5.5,123.9,1,3.0
19,8,42.1,4.38,93.1,1,2.0
48,9,39.2,5.55,61.2,2,7.0
5,0,46.4,3.29,93.6,0,6.0
18,3,31.3,5.34,120.4,1,6.0
6,2,39.9,5.17,109.2,0,7.0
17,6,43.1,5.09,79.6,1,5.0
49,9,33.0,5.01,80.1,2,8.0
19,3,47.0,6.11,70.9,1,5.0
46,9,24.7,4.44,75.2,2,2.0
25,9,31.3,7.73,76.8,1,1.0
35,9,24.4,6.18,60.6,1,5.0
23,9,32.1,4.54,81.1,1,5.0
14,6,36.8,6.28,96.9,1,2.0
39,9,44.7,6.69,81.7,1,11.0
49,9,36.8,5.94,94.3,2,8.0
14,8,33.2,4.29,122.4,1,2.0
39,9,25.6,8.18,126.7,1,6.0
14,6,28.3,6.27,88.6,1,4.0
36,9,40.5,4.0,107.6,1,5.0
40,9,45.1,5.75,86.7,2,6.0
23,4,34.6,5.24,80.2,1,5.0
37,9,47.7,5.51,67.7,1,3.0
14,4,30.4,4.07,91.7,1,2.0
4,1,34.9,5.57,111.7,0,9.0
5,2,35.6,4.5,64.5,0,6.0
23,9,50.2,5.08,84.3,1,3.0
46,9,39.1,5.96,83.3,2,12.0
7,4,23.6,4.93,89.4,0,5.0
23,9,45.6,5.15,95.3,1,2.0
36,9,52.8,6.48,100.7,1,8.0
11,3,36.0,4.43,127.9,1,3.0
37,9,30.8,4.72,72.6,1,1.0
16,9,44.9,3.99,71.5,1,5.0
41,9,53.7,4.51,94.9,2,7.0
29,9,44.8,5.65,119.1,1,2.0
28,4,25.0,5.5,60.8,1,6.0
9,1,44.0,4.53,96.6,0,3.0
24,8,38.0,6.23,86.0,1,2.0
43,9,30.4,5.63,107.1,2,7.0
1,0,48.3,3.84,102.6,0,9.0
38,9,41.5,5.71,91.0,1,5.0
25,9,48.5,6.93,99.8,1,3.0
36,9,29.5,3.23,76.8,1,5.0
34,9,41.2,7.91,106.0,1,7.0
22,3,30.8,4.77,117.7,1,4.0
16,3,40.0,3.52,89.4,1,2.0
32,7,49.8,5.67,89.4,1,5.0
8,1,26.6,6.5,87.1,0,8.0
30,9,27.0,5.16,105.8,1,5.0
5,1,45.6,5.87,89.2,0,8.0
33,9,37.9,8.04,66.0,1,5.0
32,9,47.4,5.75,109.0,1,4.0
5,0,31.5,9.08,70.3,0,10.0
38,9,38.4,7.02,98.5,1,5.0
21,5,43.5,5.56,52.7,1,13.0
40,9,39.7,5.85,92.2,2,9.0
3,0,38.0,5.12,88.6,0,2.0
9,2,60.6,5.8,50.7,0,3.0
25,9,39.7,6.17,96.7,1,6.0
10,6,38.0,5.02,68.0,0,1.0
17,9,40.5,3.84,91.7,1,3.0
34,9,41.4,7.09,81.8,1,4.0
8,2,46.0,5.5,60.4,0,7.0
34,5,45.4,3.8,69.1,1,2.0
6,2,36.3,5.5,70.7,0,6.0
9,1,24.2,6.73,109.6,0,4.0
30,9,41.7,6.61,106.7,1,5.0
40,6,24.9,4.67,133.9,2,7.0
9,0,38.0,6.68,79.8,0,3.0
15,9,32.1,5.52,79.1,1,1.0
47,9,43.1,5.97,92.7,2,11.0
50,9,32.8,4.4,82.9,2,8.0
30,7,34.1,2.0,78.3,1,2.0
23,7,31.6,4.57,91.1,1,5.0
18,3,43.7,6.14,104.1,1,7.0
31,9,33.0,5.25,47.8,1,5.0
30,9,44.1,6.28,78.6,1,5.0
15,6,33.2,6.83,61.9,1,4.0
2,0,36.1,5.1,86.9,0,6.0
8,2,38.3,4.99,98.7,0,6.0
48,9,39.2,2.88,89.4,2,6.0
21,9,30.6,3.64,81.3,1,1.0
25,8,43.6,3.89,92.1,1,1.0
24,6,35.8,6.17,56.4,1,2.0
40,9,42.4,5.12,72.8,2,6.0
4,1,37.9,4.86,94.1,0,9.0
5,0,42.7,4.72,62.8,0,8.0
14,1,34.7,4.57,114.7,1,3.0
25,4,31.7,6.61,100.5,1,10.0
34,9,41.4,5.61,71.9,1,3.0
25,9,34.1,6.69,60.4,1,2.0
23,8,49.7,2.87,75.6,1,4.0
47,9,38.5,6.14,72.0,2,7.0
9,6,27.0,4.92,65.7,0,3.0
29,9,33.3,5.16,61.9,1,1.0
28,9,30.0,7.12,85.4,1,2.0
24,6,46.6,5.03,104.6,1,3.0
41,9,44.2,5.5,75.8,2,11.0
14,4,37.5,4.28,98.9,1,3.0
48,9,38.0,5.54,83.4,2,6.0
17,8,37.3,3.59,102.2,1,1.0
28,6,44.9,5.43,74.3,1,4.0
27,7,42.2,5.96,95.6,1,3.0
43,6,43.6,6.83,92.4,2,11.0
22,4,36.5,4.52,117.2,1,4.0
15,4,32.9,4.87,101.2,1,3.0
2,0,43.3,4.73,95.1,0,6.0
19,7,50.4,5.2,60.6,1,5.0
42,9,46.8,4.34,79.5,2,6.0
1,0,38.0,2.91,74.0,0,7.0
45,9,39.3,4.25,73.6,2,5.0
28,7,30.2,5.44,90.3,1,2.0
8,1,31.0,5.32,94.8,0,4.0
16,4,49.0,6.16,95.6,1,4.0
28,9,23.1,6.51,115.2,1,2.0
16,7,38.0,5.5,99.7,1,4.0
6,1,31.7,3.6,65.4,0,2.0
34,9,53.4,5.98,94.1,1,6.0
34,9,37.4,5.49,101.7,1,2.0
6,1,43.8,5.19,115.2,0,6.0
15,4,57.1,6.96,86.9,1,7.0
13,8,35.4,6.04,87.1,1,5.0
33,9,35.2,5.65,111.6,1,3.0
37,9,32.4,5.7,93.6,1,2.0
37,7,30.0,6.52,58.0,1,3.0
47,9,35.4,4.67,53.7,2,7.0
39,9,33.6,4.44,126.8,1,4.0
17,5,28.0,5.5,55.7,1,2.0
6,3,36.3,4.09,86.7,0,5.0
31,7,41.6,5.45,107.7,1,8.0
46,9,30.8,5.5,54.7,2,2.0
49,9,36.7,5.42,68.4,2,9.0
12,4,49.3,5.07,65.1,1,3.0
12,7,26.6,7.48,126.0,1,5.0
2,1,53.5,6.63,130.4,0,7.0
8,3,32.6,5.38,75.3,0,4.0
28,9,39.6,5.61,101.6,1,3.0
28,9,48.2,7.15,89.4,1,7.0
19,4,50.7,4.8,84.4,1,5.0
16,4,41.8,4.34,57.5,1,8.0
42,9,32.4,5.77,136.1,2,7.0
24,7,31.7,6.0,53.7,1,2.0
41,9,33.4,6.09,94.2,2,8.0
