overs_played,wickets_lost,avg_batting_avg,avg_bowling_avg,avg_strike_rate,avg_economy,powerplay_runs,middle_overs_runs,total_innings_runs,team_batting_avg,team_bowling_avg,total_run_avg,overs_batted
16,5,36.8,30.5,159.1,8.57,36,50,125,27.8,22.7,7.81,16
10,8,24.2,33.3,131.7,7.76,36,50,45,10.0,41.5,4.5,10
16,3,30.9,16.3,113.0,8.51,36,50,120,34.3,12.7,7.5,16
19,3,38.7,19.1,142.9,9.07,36,50,155,45.9,20.1,8.16,19
17,3,33.9,21.0,122.4,8.33,36,50,132,37.7,20.6,7.76,17
16,5,35.9,27.6,115.4,7.63,36,50,120,29.0,30.5,7.5,16
13,1,30.0,32.4,133.8,7.42,36,50,105,75.9,41.1,8.08,13
17,6,36.0,23.7,135.8,9.05,36,50,131,29.3,23.8,7.71,17
20,3,34.3,25.3,101.5,5.81,36,50,152,38.0,20.4,7.6,20
15,5,42.6,25.2,109.4,8.15,36,50,121,28.3,21.1,8.07,15
16,6,33.6,23.3,130.6,7.27,36,50,116,24.7,19.0,7.25,16
15,2,37.8,30.1,134.8,8.01,36,50,123,51.4,33.8,8.2,15
14,3,21.8,29.1,112.4,8.35,36,50,82,20.4,30.8,5.86,14
18,6,42.4,25.8,137.2,8.55,36,50,143,30.9,20.0,7.94,18
20,4,31.5,27.3,116.6,8.27,36,50,147,37.9,26.7,7.35,20
20,4,26.3,27.3,130.2,9.41,36,50,144,32.4,29.7,7.2,20
15,5,32.5,23.0,139.8,7.89,36,50,100,26.1,21.3,6.67,15
12,2,42.8,19.0,110.7,8.65,36,50,95,45.2,13.9,7.92,12
17,5,23.7,28.0,144.1,9.0,36,50,127,19.2,35.1,7.47,17
19,5,23.7,18.1,131.9,7.33,36,50,133,27.8,23.8,7.0,19
18,1,29.3,18.7,119.2,8.38,36,50,158,80.0,22.2,8.78,18
15,4,28.9,24.4,131.3,9.78,36,50,99,27.0,24.2,6.6,15
19,6,36.4,27.6,113.7,6.81,36,50,142,25.3,25.5,7.47,19
11,4,37.8,21.0,89.0,10.22,36,50,88,25.6,16.2,8.0,11
20,3,24.2,30.4,132.9,8.01,36,50,152,41.2,33.7,7.6,20
18,5,31.9,21.6,113.5,8.56,36,50,127,25.2,16.8,7.06,18
19,3,34.2,20.5,133.6,10.28,36,50,160,46.2,21.5,8.42,19
16,0,27.5,25.1,153.5,9.92,36,50,131,80.0,28.1,8.19,16
14,8,33.2,28.9,133.2,8.83,36,50,105,21.5,25.3,7.5,14
11,7,27.8,31.9,131.5,8.02,36,50,90,15.1,30.4,8.18,11
20,6,43.5,32.8,119.0,9.09,36,50,166,30.1,31.2,8.3,20
17,2,40.8,26.3,153.4,7.58,36,50,150,58.2,28.1,8.82,17
18,5,37.2,22.7,134.3,8.84,36,50,150,36.6,18.3,8.33,18
18,2,38.2,26.4,122.4,7.36,36,50,135,58.0,34.7,7.5,18
20,3,24.8,18.5,136.8,8.27,36,50,140,33.3,23.9,7.0,20
18,3,26.4,25.7,117.7,8.83,36,50,139,40.4,30.5,7.72,18
17,3,38.0,23.1,122.4,6.0,36,50,156,48.2,20.7,9.18,17
16,3,32.3,18.8,129.5,6.71,36,50,124,32.1,18.1,7.75,16
18,7,22.7,31.4,138.3,9.43,36,50,123,16.5,29.6,6.83,18
19,9,27.3,30.9,121.3,6.88,36,50,152,20.0,23.1,8.0,19
17,7,43.4,24.7,131.4,10.28,36,50,114,27.8,22.4,6.71,17
18,6,24.3,24.0,144.0,7.19,36,50,118,22.7,25.1,6.56,18
14,3,27.8,37.8,116.5,8.27,36,50,90,31.5,38.7,6.43,14
19,6,28.0,24.9,125.0,7.06,36,50,113,22.9,26.2,5.95,19
17,4,38.6,25.4,119.9,7.01,36,50,126,32.8,24.9,7.41,17
20,4,32.7,18.2,118.8,7.8,36,50,167,36.2,18.9,8.35,20
6,2,40.2,22.8,122.7,6.84,36,50,30,23.9,22.8,5.0,6
11,6,38.6,28.7,123.2,8.36,36,50,81,15.5,28.2,7.36,11
12,4,29.9,21.4,127.9,8.55,36,50,75,20.9,15.7,6.25,12
18,6,33.0,34.7,119.7,8.18,36,50,118,25.9,30.6,6.56,18
16,4,44.0,24.7,155.8,6.62,36,50,160,41.4,27.3,10.0,16
17,7,28.6,27.3,141.1,9.49,36,50,162,23.6,28.4,9.53,17
20,9,35.8,28.0,136.9,9.3,36,50,150,21.5,28.3,7.5,20
15,5,21.9,21.3,141.1,7.61,36,50,123,25.5,23.1,8.2,15
20,4,43.1,26.9,137.0,7.41,36,50,155,42.9,23.6,7.75,20
15,4,39.3,27.7,131.1,7.65,36,50,133,39.5,24.4,8.87,15
18,2,31.6,22.8,106.8,8.23,36,50,159,60.8,16.6,8.83,18
19,3,29.3,20.2,143.1,7.95,36,50,158,44.0,20.3,8.32,19
20,6,34.7,28.1,126.2,9.2,36,50,154,32.0,26.8,7.7,20
15,7,35.5,32.6,141.1,7.42,36,50,112,20.6,35.6,7.47,15
13,3,40.4,25.1,164.3,6.15,36,50,113,38.4,27.3,8.69,13
19,3,28.4,16.7,129.3,9.67,36,50,151,43.8,20.4,7.95,19
14,4,23.4,26.7,117.0,8.93,36,50,87,22.0,25.5,6.21,14
17,2,27.9,24.5,118.6,7.47,36,50,137,56.9,20.8,8.06,17
13,7,36.2,22.0,132.6,9.06,36,50,99,23.1,23.8,7.62,13
19,3,38.4,19.2,133.9,7.79,36,50,147,47.5,12.5,7.74,19
10,5,37.0,19.3,141.2,5.91,36,48,93,20.1,21.5,9.3,10
18,5,29.6,25.5,157.3,9.15,36,50,153,29.8,31.7,8.5,18
16,5,33.5,37.5,132.7,8.26,36,50,120,31.7,37.8,7.5,16
20,5,29.0,25.5,118.5,8.07,36,50,156,27.7,27.2,7.8,20
20,10,35.2,22.0,117.1,9.06,36,50,142,18.2,31.0,7.1,20
13,3,31.8,29.0,136.6,7.89,36,50,103,36.4,23.2,7.92,13
17,4,35.2,18.4,137.9,8.96,36,50,159,31.8,12.8,9.35,17
14,2,18.3,27.4,144.9,7.73,36,50,129,45.5,30.1,9.21,14
16,3,36.4,31.3,126.3,6.91,36,50,122,39.9,30.1,7.62,16
