over_number,wickets_fallen,batsman_avg,bowler_econ,strike_rate,match_phase,runs_in_over
2,0,26.0,7.38,138.0,0,11.0
16,4,38.7,8.54,165.9,2,16.0
14,6,32.4,10.34,136.6,1,9.0
9,1,27.7,6.31,111.8,1,3.0
9,2,32.4,7.47,103.8,1,6.0
18,4,32.2,6.34,103.6,2,8.0
2,2,37.0,7.0,130.1,0,10.0
14,7,32.4,7.65,120.7,1,9.0
5,3,31.2,7.13,118.4,0,13.0
2,0,33.0,8.62,127.9,0,11.0
11,4,21.1,8.18,147.2,1,8.0
20,6,21.0,8.36,119.1,2,6.0
15,5,29.1,7.63,115.7,1,3.0
16,2,32.1,7.74,120.4,2,16.0
15,6,32.1,7.58,148.4,1,3.0
16,3,27.5,8.0,128.6,2,11.0
11,7,27.2,8.5,135.6,1,7.0
3,1,32.4,5.69,161.1,0,11.0
17,3,34.4,8.35,186.9,2,15.0
10,2,42.0,6.96,142.8,1,5.0
11,5,14.2,7.59,140.8,1,4.0
8,2,37.0,6.13,106.3,1,4.0
4,3,31.1,7.57,137.4,0,8.0
19,4,36.2,8.33,131.2,2,14.0
16,8,41.5,8.55,147.8,2,10.0
13,7,26.0,6.58,122.2,1,2.0
9,4,39.6,8.49,134.0,1,9.0
17,2,22.0,9.37,142.1,2,22.0
11,5,33.0,7.41,168.0,1,9.0
9,2,30.1,8.0,161.3,1,10.0
10,7,32.4,5.52,155.3,1,5.0
5,4,24.1,6.92,144.5,0,6.0
2,1,35.5,8.32,121.4,0,7.0
12,3,44.7,9.15,144.5,1,13.0
18,5,24.2,7.28,114.6,2,14.0
2,2,33.5,11.2,129.9,0,11.0
18,7,38.8,8.38,165.6,2,15.0
17,7,29.6,6.47,140.8,2,6.0
6,2,42.9,9.54,134.5,0,16.0
13,8,28.6,6.5,137.1,1,4.0
4,1,31.1,8.39,128.1,0,10.0
16,9,24.1,6.88,86.9,2,4.0
15,4,33.0,6.37,104.7,1,2.0
8,2,32.0,9.15,142.3,1,10.0
2,0,37.1,7.69,111.6,0,13.0
20,5,26.9,10.07,127.8,2,12.0
9,2,26.5,6.78,105.5,1,7.0
18,4,35.7,6.13,115.6,2,12.0
14,4,43.2,7.42,129.9,1,11.0
16,4,37.0,11.47,129.9,2,11.0
16,5,46.8,9.0,152.5,2,16.0
4,0,36.4,8.66,115.3,0,12.0
8,1,36.2,8.7,136.1,1,11.0
10,3,37.4,7.42,101.5,1,7.0
10,8,43.9,11.28,131.1,1,8.0
1,0,41.9,8.55,149.1,0,13.0
11,2,23.3,8.44,128.7,1,9.0
4,3,38.4,9.18,156.3,0,6.0
15,4,34.1,6.47,146.7,1,11.0
14,3,30.4,6.94,134.8,1,7.0
19,3,17.8,7.71,125.0,2,16.0
15,7,19.7,9.19,119.3,1,6.0
8,5,29.1,6.44,100.8,1,7.0
20,6,20.3,7.92,104.1,2,9.0
9,2,32.4,8.0,149.9,1,2.0
7,1,37.7,6.11,160.3,1,11.0
19,3,27.4,7.39,108.4,2,9.0
8,0,32.7,8.65,131.4,1,4.0
2,1,23.4,6.22,98.5,0,5.0
10,4,34.4,9.69,110.5,1,10.0
16,5,36.1,8.56,135.2,2,11.0
4,2,20.6,8.42,119.6,0,4.0
10,5,26.0,8.01,91.7,1,1.0
3,0,21.9,6.69,164.4,0,6.0
14,2,36.1,7.22,129.0,1,8.0
10,2,33.3,8.43,107.9,1,6.0
7,2,31.6,7.22,132.6,1,8.0
5,0,31.0,8.23,128.4,0,9.0
12,5,34.6,6.92,138.4,1,10.0
14,8,34.7,8.54,123.2,1,11.0
19,3,28.0,8.63,136.3,2,12.0
9,2,26.9,6.05,148.9,1,7.0
4,1,31.5,8.08,103.6,0,5.0
17,1,30.5,6.17,116.1,2,13.0
13,2,48.5,5.77,146.8,1,11.0
15,2,28.9,7.29,119.0,1,14.0
2,0,34.3,11.36,128.4,0,14.0
7,0,35.7,8.93,120.6,1,10.0
16,4,43.2,9.67,121.8,2,22.0
17,3,25.5,8.73,120.1,2,11.0
